inquiry,knowledge,idea,messages,message,relevant
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'空氣存在於地球的大氣層中': 1},空氣存在於地球的大氣層中,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我昨天去海邊玩，感覺到海風很涼爽': 0},我昨天去海邊玩，感覺到海風很涼爽,0
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我最喜歡的運動是游泳，因為可以在水中感受到空氣': 0},我最喜歡的運動是游泳，因為可以在水中感受到空氣,0
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'空氣中含有氧氣和其他氣體': 1},空氣中含有氧氣和其他氣體,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我家有一台空氣清淨機，可以過濾空氣中的污染物': 1},我家有一台空氣清淨機，可以過濾空氣中的污染物,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我喜歡在戶外運動，因為可以呼吸到新鮮的空氣': 1},我喜歡在戶外運動，因為可以呼吸到新鮮的空氣,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我家的花盆裡有一些小昆蟲，牠們也需要空氣呼吸': 1},我家的花盆裡有一些小昆蟲，牠們也需要空氣呼吸,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我最喜歡的季節是冬天，因為可以看到濃濃的霧氣': 0},我最喜歡的季節是冬天，因為可以看到濃濃的霧氣,0
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'空氣中的氧氣對人體呼吸很重要': 1},空氣中的氧氣對人體呼吸很重要,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我家的陽台上有一個小風扇，可以讓空氣流通': 1},我家的陽台上有一個小風扇，可以讓空氣流通,1
空氣存在哪裡？ ,1. 空氣存在的地方,"[{'空氣存在哪裡？':'請發表你們的想法'}, {'💡我的想法':'空氣存在在我們周圍的空間中'}, {'🧐我覺得更好的想法':'空氣存在在大氣層中'}, {'❓我想知道':'大氣層是什麼？'}, {'📄舉例和參考來源':'大氣層是包圍地球的氣體層，像是我們呼吸的空氣就是其中的一部分'}, {'💡我的想法':'空氣也存在在水中'}, {'❓我想知道':'水中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'水中的空氣是溶解在水中的'}, {'💡我的想法':'空氣也存在在土壤中'}, {'❓我想知道':'土壤中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'土壤中的空氣是被土壤顆粒間的孔隙所填滿的'}, {'💡我的想法':'空氣存在在植物的葉子中'}, {'❓我想知道':'植物的葉子中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'植物的葉子中的空氣是透過氣孔進出的'}, {'💡我的想法':'空氣存在在地下的洞穴中'}, {'❓我想知道':'地下的洞穴中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'地下的洞穴中的空氣是透過地表的裂隙進入的'}, {'💡我的想法':'空氣存在在室內的房間中'}, {'❓我想知道':'室內的房間中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'室內的房間中的空氣是透過通風系統進出的'}, {'💡我的想法':'空氣存在在動物的肺部中'}, {'❓我想知道':'動物的肺部中的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'動物的肺部中的空氣是透過呼吸進出的'}, {'🧐我覺得更好的想法':'空氣存在在各種物體的表面上'}, {'❓我想知道':'物體表面上的空氣是怎麼存在的？'}, {'🙅🏻這個想法不能解釋':'物體表面上的空氣是被物體壓迫著的'}, {'✍🏻我的總結':'空氣存在在我們周圍的空間中，也存在在大氣層、水中、土壤中、植物的葉子中、地下的洞穴中、室內的房間中、動物的肺部中，以及各種物體的表面上'}]",{'我喜歡在戶外野餐，可以享受到自然的空氣': 1},我喜歡在戶外野餐，可以享受到自然的空氣,1
空氣有哪些性質？,1. 裝在杯底的紙團壓入水底不會濕 2. 空氣占有空間 3. 空氣的外型 4. 空氣重量的實驗 5. 空氣的重量,"[{'空氣有哪些性質？':'請發表你們的想法'}, {'💡我的想法':'空氣是透明的，我們看不見它'}, {'🧐我覺得更好的想法':'空氣是無味無色的'}, {'❓我想知道':'空氣有沒有重量？'}, {'🙅🏻這個想法不能解釋':'空氣是有重量的'}, {'📄舉例和參考來源':'我們可以用秤量空氣的重量'}, {'✍🏻我的總結':'空氣是無味無色，但有重量'}]",{'空氣是一種物質，具有質量和重量': 1},空氣是一種物質，具有質量和重量,1
